timestamp,channel,action,power_w
1773059294229,CH1,POWER,6.82
1773059294237,CH1,POWER,6.82
1773059294245,CH1,POWER,6.82
1773059294255,CH1,POWER,6.82
1773059294265,CH1,POWER,6.82
1773059294274,CH1,POWER,6.82
1773059294284,CH1,POWER,6.82
1773059294294,CH1,POWER,6.82
1773059294305,CH1,POWER,6.82
1773059294314,CH1,POWER,6.82
1773059294323,CH1,POWER,6.82
1773059294333,CH1,POWER,6.82
1773059294341,CH1,POWER,6.82
1773059294347,CH1,POWER,6.82
1773059294352,CH1,POWER,6.82
1773059294362,CH1,POWER,6.82
1773059294371,CH1,POWER,6.82
1773059294381,CH1,POWER,6.82
1773059294392,CH1,POWER,6.82
1773059294403,CH1,POWER,6.82
1773059294412,CH1,POWER,6.82
1773059294421,CH1,POWER,6.82
1773059294431,CH1,POWER,6.82
1773059294439,CH1,POWER,6.82
1773059294450,CH1,POWER,6.82
1773059294459,CH1,POWER,6.82
1773059294470,CH1,POWER,6.82
1773059294481,CH1,POWER,6.82
1773059294491,CH1,POWER,6.82
1773059294501,CH1,POWER,6.82
1773059294512,CH1,POWER,6.82
1773059294521,CH1,POWER,6.82
1773059294532,CH1,POWER,6.82
1773059294542,CH1,POWER,6.82
1773059294553,CH1,POWER,6.82
1773059294564,CH1,POWER,6.82
1773059294573,CH1,POWER,6.82
1773059294583,CH1,POWER,6.82
1773059294595,CH1,POWER,6.82
1773059294607,CH1,POWER,6.82
1773059294619,CH1,POWER,6.82
1773059294631,CH1,POWER,6.82
1773059294643,CH1,POWER,6.82
1773059294653,CH1,POWER,6.82
1773059294662,CH1,POWER,6.82
1773059294673,CH1,POWER,6.82
1773059294682,CH1,POWER,6.82
1773059294693,CH1,POWER,6.82
1773059294702,CH1,POWER,6.82
1773059294713,CH1,POWER,21.06
1773059294764,CH1,POWER,21.06
1773059294774,CH1,POWER,21.06
1773059294786,CH1,POWER,21.06
1773059294797,CH1,POWER,21.06
1773059294806,CH1,POWER,21.06
1773059294817,CH1,POWER,21.06
1773059294827,CH1,POWER,21.06
1773059294836,CH1,POWER,21.06
1773059294845,CH1,POWER,21.06
1773059294854,CH1,POWER,21.06
1773059294864,CH1,POWER,21.06
1773059294875,CH1,POWER,21.06
1773059294886,CH1,POWER,21.06
1773059294895,CH1,POWER,21.06
1773059294907,CH1,POWER,21.06
1773059294919,CH1,POWER,21.06
1773059294931,CH1,POWER,21.06
1773059294939,CH1,POWER,21.06
1773059294948,CH1,POWER,21.06
1773059294958,CH1,POWER,21.06
1773059294967,CH1,POWER,21.06
1773059294978,CH1,POWER,21.06
1773059294988,CH1,POWER,21.06
1773059294997,CH1,POWER,21.06
1773059295005,CH1,POWER,21.06
1773059295014,CH1,POWER,21.06
1773059295025,CH1,POWER,21.06
1773059295035,CH1,POWER,21.06
1773059295046,CH1,POWER,21.06
1773059295057,CH1,POWER,21.06
1773059295065,CH1,POWER,21.06
1773059295075,CH1,POWER,21.06
1773059295087,CH1,POWER,21.06
1773059295099,CH1,POWER,21.06
1773059295105,CH1,POWER,21.06
1773059295112,CH1,POWER,21.06
1773059295123,CH1,POWER,21.06
1773059295131,CH1,POWER,21.06
1773059295142,CH1,POWER,21.06
1773059295151,CH1,POWER,21.06
1773059295161,CH1,POWER,21.06
1773059295173,CH1,POWER,21.06
1773059295184,CH1,POWER,21.06
1773059295192,CH1,POWER,21.06
1773059295202,CH1,POWER,21.06
1773059295213,CH1,POWER,21.06
1773059295223,CH1,POWER,21.06
