timestamp,channel,action,power_w
1773060460907,CH1,POWER,4.49
1773060460916,CH1,POWER,4.49
1773060460926,CH1,POWER,4.49
1773060460938,CH1,POWER,4.49
1773060460950,CH1,POWER,4.49
1773060460962,CH1,POWER,4.49
1773060460974,CH1,POWER,4.49
1773060460986,CH1,POWER,4.49
1773060460997,CH1,POWER,4.49
1773060461003,CH1,POWER,4.49
1773060461008,CH1,POWER,4.49
1773060461017,CH1,POWER,4.49
1773060461028,CH1,POWER,4.49
1773060461040,CH1,POWER,4.49
1773060461052,CH1,POWER,4.49
1773060461064,CH1,POWER,4.49
1773060461076,CH1,POWER,4.49
1773060461088,CH1,POWER,4.49
1773060461099,CH1,POWER,4.49
1773060461108,CH1,POWER,4.49
1773060461118,CH1,POWER,4.49
1773060461129,CH1,POWER,4.49
1773060461141,CH1,POWER,4.49
1773060461151,CH1,POWER,4.49
1773060461161,CH1,POWER,4.49
1773060461172,CH1,POWER,4.49
1773060461184,CH1,POWER,4.49
1773060461196,CH1,POWER,4.49
1773060461208,CH1,POWER,4.49
1773060461220,CH1,POWER,4.49
1773060461232,CH1,POWER,4.49
1773060461244,CH1,POWER,4.49
1773060461253,CH1,POWER,4.49
1773060461263,CH1,POWER,4.49
1773060461273,CH1,POWER,4.49
1773060461284,CH1,POWER,4.49
1773060461294,CH1,POWER,4.49
1773060461302,CH1,POWER,4.49
1773060461311,CH1,POWER,4.49
1773060461322,CH1,POWER,4.49
1773060461331,CH1,POWER,4.49
1773060461342,CH1,POWER,4.49
1773060461351,CH1,POWER,4.49
1773060461362,CH1,POWER,4.49
1773060461414,CH1,POWER,12.28
1773060461424,CH1,POWER,12.28
1773060461434,CH1,POWER,12.28
1773060461443,CH1,POWER,12.28
1773060461454,CH1,POWER,12.28
1773060461466,CH1,POWER,12.28
1773060461478,CH1,POWER,12.28
1773060461490,CH1,POWER,12.28
1773060461502,CH1,POWER,12.28
1773060461511,CH1,POWER,12.28
1773060461520,CH1,POWER,12.28
1773060461530,CH1,POWER,12.28
1773060461541,CH1,POWER,12.28
1773060461553,CH1,POWER,12.28
1773060461562,CH1,POWER,12.28
1773060461574,CH1,POWER,12.28
1773060461586,CH1,POWER,12.28
1773060461598,CH1,POWER,12.28
1773060461610,CH1,POWER,12.28
1773060461620,CH1,POWER,12.28
1773060461631,CH1,POWER,12.28
1773060461643,CH1,POWER,12.28
1773060461654,CH1,POWER,12.28
1773060461666,CH1,POWER,12.28
1773060461675,CH1,POWER,12.28
1773060461686,CH1,POWER,12.28
1773060461696,CH1,POWER,12.28
1773060461706,CH1,POWER,12.28
1773060461718,CH1,POWER,12.28
1773060461730,CH1,POWER,12.28
1773060461739,CH1,POWER,12.28
1773060461750,CH1,POWER,12.28
1773060461760,CH1,POWER,12.28
1773060461765,CH1,POWER,12.28
1773060461774,CH1,POWER,12.28
1773060461784,CH1,POWER,12.28
1773060461793,CH1,POWER,12.28
1773060461803,CH1,POWER,12.28
1773060461814,CH1,POWER,12.28
1773060461825,CH1,POWER,12.28
1773060461834,CH1,POWER,12.28
1773060461844,CH1,POWER,12.28
1773060461853,CH1,POWER,12.28
1773060461863,CH1,POWER,12.28
1773060461872,CH1,POWER,12.28
1773060461884,CH1,POWER,12.28
1773060461896,CH1,POWER,12.28
1773060461908,CH1,POWER,12.28
1773060461920,CH1,POWER,12.28
1773060461932,CH1,POWER,12.28
1773060461944,CH1,POWER,12.28
1773060461956,CH1,POWER,12.28
1773060461968,CH1,POWER,12.28
1773060461980,CH1,POWER,12.28
1773060461992,CH1,POWER,12.28
1773060462003,CH1,POWER,12.28
1773060462013,CH1,POWER,12.28
1773060462024,CH1,POWER,12.28
1773060462036,CH1,POWER,12.28
1773060462048,CH1,POWER,12.28
1773060462060,CH1,POWER,12.28
1773060462072,CH1,POWER,12.28
1773060462084,CH1,POWER,12.28
1773060462096,CH1,POWER,12.28
1773060462108,CH1,POWER,12.28
1773060462120,CH1,POWER,12.28
1773060462174,CH1,POWER,12.28
1773060462186,CH1,POWER,12.28
1773060462198,CH1,POWER,12.28
1773060462208,CH1,POWER,12.28
1773060462216,CH1,POWER,12.28
1773060462227,CH1,POWER,12.28
1773060462236,CH1,POWER,12.28
1773060462246,CH1,POWER,12.28
1773060462258,CH1,POWER,12.28
1773060462270,CH1,POWER,12.28
1773060462282,CH1,POWER,12.28
1773060462292,CH1,POWER,12.28
1773060462304,CH1,POWER,12.28
1773060462316,CH1,POWER,12.28
1773060462328,CH1,POWER,12.28
1773060462340,CH1,POWER,12.28
1773060462352,CH1,POWER,12.28
1773060462364,CH1,POWER,12.28
1773060462376,CH1,POWER,12.28
1773060462388,CH1,POWER,12.28
1773060462400,CH1,POWER,12.28
1773060462412,CH1,POWER,12.28
1773060462424,CH1,POWER,12.28
1773060462436,CH1,POWER,12.28
1773060462446,CH1,POWER,12.28
1773060462458,CH1,POWER,12.28
1773060462470,CH1,POWER,12.28
1773060462482,CH1,POWER,12.28
1773060462494,CH1,POWER,12.28
1773060462506,CH1,POWER,12.28
