timestamp,channel,action,power_w
1773061125254,CH1,POWER,4.29
1773061125262,CH1,POWER,4.29
1773061125270,CH1,POWER,4.29
1773061125280,CH1,POWER,4.29
1773061125290,CH1,POWER,4.29
1773061125298,CH1,POWER,4.29
1773061125306,CH1,POWER,4.29
1773061125318,CH1,POWER,4.29
1773061125325,CH1,POWER,4.29
1773061125330,CH1,POWER,4.29
1773061125340,CH1,POWER,4.29
1773061125350,CH1,POWER,4.29
1773061125359,CH1,POWER,4.29
1773061125368,CH1,POWER,4.29
1773061125379,CH1,POWER,4.29
1773061125389,CH1,POWER,4.29
1773061125398,CH1,POWER,4.29
1773061125407,CH1,POWER,4.29
1773061125419,CH1,POWER,4.29
1773061125431,CH1,POWER,4.29
1773061125443,CH1,POWER,4.29
1773061125455,CH1,POWER,4.29
1773061125467,CH1,POWER,4.29
1773061125479,CH1,POWER,4.29
1773061125489,CH1,POWER,4.29
1773061125499,CH1,POWER,4.29
1773061125511,CH1,POWER,4.29
1773061125519,CH1,POWER,4.29
1773061125531,CH1,POWER,4.29
1773061125543,CH1,POWER,4.29
1773061125555,CH1,POWER,4.29
1773061125567,CH1,POWER,4.29
1773061125579,CH1,POWER,4.29
1773061125591,CH1,POWER,4.29
1773061125603,CH1,POWER,4.29
1773061125615,CH1,POWER,4.29
1773061125626,CH1,POWER,4.29
1773061125635,CH1,POWER,4.29
1773061125647,CH1,POWER,4.29
1773061125659,CH1,POWER,4.29
1773061125671,CH1,POWER,4.29
1773061125683,CH1,POWER,4.29
1773061125735,CH1,POWER,12.28
1773061125745,CH1,POWER,12.28
1773061125757,CH1,POWER,12.28
1773061125769,CH1,POWER,12.28
1773061125781,CH1,POWER,12.28
1773061125793,CH1,POWER,12.28
1773061125804,CH1,POWER,12.28
1773061125815,CH1,POWER,12.28
1773061125827,CH1,POWER,12.28
1773061125839,CH1,POWER,12.28
1773061125849,CH1,POWER,12.28
1773061125857,CH1,POWER,12.28
1773061125867,CH1,POWER,12.28
1773061125879,CH1,POWER,12.28
1773061125891,CH1,POWER,12.28
1773061125903,CH1,POWER,12.28
1773061125915,CH1,POWER,12.28
1773061125927,CH1,POWER,12.28
1773061125939,CH1,POWER,12.28
1773061125951,CH1,POWER,12.28
1773061125961,CH1,POWER,12.28
1773061125970,CH1,POWER,12.28
1773061125979,CH1,POWER,12.28
1773061125990,CH1,POWER,12.28
1773061126000,CH1,POWER,12.28
1773061126010,CH1,POWER,12.28
1773061126019,CH1,POWER,12.28
1773061126030,CH1,POWER,12.28
1773061126039,CH1,POWER,12.28
1773061126048,CH1,POWER,12.28
1773061126058,CH1,POWER,12.28
1773061126070,CH1,POWER,12.28
1773061126077,CH1,POWER,12.28
1773061126083,CH1,POWER,12.28
1773061126092,CH1,POWER,12.28
1773061126103,CH1,POWER,12.28
1773061126113,CH1,POWER,12.28
1773061126124,CH1,POWER,12.28
1773061126135,CH1,POWER,12.28
1773061126144,CH1,POWER,12.28
1773061126155,CH1,POWER,12.28
1773061126165,CH1,POWER,12.28
1773061126176,CH1,POWER,12.28
1773061126187,CH1,POWER,12.28
1773061126196,CH1,POWER,12.28
1773061126205,CH1,POWER,12.28
1773061126215,CH1,POWER,12.28
1773061126225,CH1,POWER,12.28
1773061126233,CH1,POWER,12.28
1773061126241,CH1,POWER,12.28
1773061126251,CH1,POWER,12.28
1773061126262,CH1,POWER,12.28
1773061126271,CH1,POWER,12.28
1773061126281,CH1,POWER,12.28
1773061126293,CH1,POWER,12.28
1773061126303,CH1,POWER,12.28
1773061126314,CH1,POWER,12.28
1773061126323,CH1,POWER,12.28
1773061126332,CH1,POWER,12.28
1773061126342,CH1,POWER,12.28
1773061126352,CH1,POWER,12.28
1773061126362,CH1,POWER,12.28
1773061126371,CH1,POWER,12.28
1773061126383,CH1,POWER,12.28
1773061126395,CH1,POWER,12.28
1773061126407,CH1,POWER,12.28
1773061126419,CH1,POWER,12.28
1773061126431,CH1,POWER,12.28
1773061126485,CH1,POWER,12.48
1773061126496,CH1,POWER,12.48
1773061126507,CH1,POWER,12.48
1773061126519,CH1,POWER,12.48
1773061126531,CH1,POWER,12.48
1773061126543,CH1,POWER,12.48
1773061126554,CH1,POWER,12.48
1773061126564,CH1,POWER,12.48
1773061126576,CH1,POWER,12.48
1773061126585,CH1,POWER,12.48
1773061126597,CH1,POWER,12.48
1773061126609,CH1,POWER,12.48
1773061126621,CH1,POWER,12.48
1773061126633,CH1,POWER,12.48
1773061126645,CH1,POWER,12.48
1773061126656,CH1,POWER,12.48
1773061126665,CH1,POWER,12.48
1773061126677,CH1,POWER,12.48
1773061126687,CH1,POWER,12.48
1773061126697,CH1,POWER,12.48
1773061126707,CH1,POWER,12.48
1773061126718,CH1,POWER,12.48
1773061126727,CH1,POWER,12.48
1773061126736,CH1,POWER,12.48
1773061126747,CH1,POWER,12.48
1773061126757,CH1,POWER,12.48
1773061126767,CH1,POWER,12.48
1773061126776,CH1,POWER,12.48
1773061126787,CH1,POWER,12.48
1773061126797,CH1,POWER,12.48
1773061126809,CH1,POWER,12.48
1773061126818,CH1,POWER,12.48
1773061126827,CH1,POWER,12.48
1773061126839,CH1,POWER,12.48
1773061126846,CH1,POWER,12.48
1773061126851,CH1,POWER,12.48
1773061126863,CH1,POWER,12.48
1773061126873,CH1,POWER,12.48
1773061126881,CH1,POWER,12.48
1773061126893,CH1,POWER,12.48
1773061126905,CH1,POWER,12.48
1773061126917,CH1,POWER,12.48
1773061126929,CH1,POWER,12.48
1773061126941,CH1,POWER,12.48
1773061126953,CH1,POWER,12.48
