timestamp,channel,action,power_w
1773061541500,CH1,POWER,4.29
1773061541508,CH1,POWER,4.29
1773061541516,CH1,POWER,4.29
1773061541527,CH1,POWER,4.29
1773061541538,CH1,POWER,4.29
1773061541549,CH1,POWER,4.29
1773061541560,CH1,POWER,4.29
1773061541571,CH1,POWER,4.29
1773061541582,CH1,POWER,4.29
1773061541593,CH1,POWER,4.29
1773061541602,CH1,POWER,4.29
1773061541611,CH1,POWER,4.29
1773061541619,CH1,POWER,4.29
1773061541627,CH1,POWER,4.29
1773061541636,CH1,POWER,4.29
1773061541645,CH1,POWER,4.29
1773061541655,CH1,POWER,4.29
1773061541664,CH1,POWER,4.29
1773061541673,CH1,POWER,4.29
1773061541683,CH1,POWER,4.29
1773061541693,CH1,POWER,4.29
1773061541702,CH1,POWER,4.29
1773061541711,CH1,POWER,4.29
1773061541721,CH1,POWER,4.29
1773061541730,CH1,POWER,4.29
1773061541739,CH1,POWER,4.29
1773061541749,CH1,POWER,4.29
1773061541758,CH1,POWER,4.29
1773061541766,CH1,POWER,4.29
1773061541776,CH1,POWER,4.29
1773061541784,CH1,POWER,4.29
1773061541794,CH1,POWER,4.29
1773061541804,CH1,POWER,4.29
1773061541813,CH1,POWER,4.29
1773061541823,CH1,POWER,4.29
1773061541875,CH1,POWER,12.48
1773061541885,CH1,POWER,12.48
1773061541895,CH1,POWER,12.48
1773061541904,CH1,POWER,12.48
1773061541913,CH1,POWER,12.48
1773061541923,CH1,POWER,12.48
1773061541932,CH1,POWER,12.48
1773061541941,CH1,POWER,12.48
1773061541951,CH1,POWER,12.48
1773061541960,CH1,POWER,12.48
1773061541969,CH1,POWER,12.48
1773061541979,CH1,POWER,12.48
1773061541988,CH1,POWER,12.48
1773061541996,CH1,POWER,12.48
1773061542006,CH1,POWER,12.48
1773061542017,CH1,POWER,12.48
1773061542025,CH1,POWER,12.48
1773061542035,CH1,POWER,12.48
1773061542044,CH1,POWER,12.48
1773061542053,CH1,POWER,12.48
1773061542063,CH1,POWER,12.48
1773061542072,CH1,POWER,12.48
1773061542081,CH1,POWER,12.48
1773061542091,CH1,POWER,12.48
1773061542100,CH1,POWER,12.48
1773061542108,CH1,POWER,12.48
1773061542117,CH1,POWER,12.48
1773061542126,CH1,POWER,12.48
1773061542134,CH1,POWER,12.48
1773061542145,CH1,POWER,12.48
1773061542154,CH1,POWER,12.48
1773061542163,CH1,POWER,12.48
1773061542175,CH1,POWER,12.48
1773061542186,CH1,POWER,12.48
1773061542195,CH1,POWER,12.48
1773061542206,CH1,POWER,12.48
1773061542215,CH1,POWER,12.48
1773061542224,CH1,POWER,12.48
1773061542234,CH1,POWER,12.48
1773061542239,CH1,POWER,12.48
1773061542246,CH1,POWER,12.48
1773061542254,CH1,POWER,12.48
1773061542265,CH1,POWER,12.48
1773061542274,CH1,POWER,12.48
1773061542284,CH1,POWER,12.48
1773061542292,CH1,POWER,12.48
1773061542300,CH1,POWER,12.48
1773061542309,CH1,POWER,12.48
1773061542318,CH1,POWER,12.48
1773061542329,CH1,POWER,12.48
1773061542339,CH1,POWER,12.48
1773061542348,CH1,POWER,12.48
1773061542358,CH1,POWER,12.48
1773061542369,CH1,POWER,12.48
1773061542380,CH1,POWER,12.48
1773061542390,CH1,POWER,12.48
1773061542401,CH1,POWER,12.48
1773061542410,CH1,POWER,12.48
1773061542419,CH1,POWER,12.48
1773061542430,CH1,POWER,12.48
1773061542440,CH1,POWER,12.48
1773061542449,CH1,POWER,12.48
1773061542459,CH1,POWER,12.48
1773061542469,CH1,POWER,12.48
1773061542480,CH1,POWER,12.48
1773061542489,CH1,POWER,12.48
1773061542497,CH1,POWER,12.48
1773061542507,CH1,POWER,12.48
1773061542518,CH1,POWER,12.48
1773061542527,CH1,POWER,12.48
1773061542539,CH1,POWER,12.48
1773061542549,CH1,POWER,12.48
1773061542557,CH1,POWER,12.48
1773061542569,CH1,POWER,12.48
1773061542581,CH1,POWER,12.48
1773061542593,CH1,POWER,12.48
1773061542647,CH1,POWER,12.48
1773061542656,CH1,POWER,12.48
1773061542667,CH1,POWER,12.48
1773061542677,CH1,POWER,12.48
1773061542686,CH1,POWER,12.48
1773061542695,CH1,POWER,12.48
1773061542704,CH1,POWER,12.48
1773061542712,CH1,POWER,12.48
