timestamp,channel,action,power_w
1773058980359,CH1,POWER,7.41
1773058980367,CH1,POWER,7.41
1773058980377,CH1,POWER,7.41
1773058980388,CH1,POWER,7.41
1773058980398,CH1,POWER,7.41
1773058980410,CH1,POWER,7.41
1773058980421,CH1,POWER,7.41
1773058980431,CH1,POWER,7.41
1773058980442,CH1,POWER,7.41
1773058980451,CH1,POWER,7.41
1773058980462,CH1,POWER,7.41
1773058980472,CH1,POWER,14.82
1773058980524,CH1,POWER,14.82
1773058980535,CH1,POWER,14.82
1773058980544,CH1,POWER,14.82
1773058980553,CH1,POWER,14.82
1773058980563,CH1,POWER,14.82
1773058980575,CH1,POWER,14.82
1773058980586,CH1,POWER,14.82
1773058980596,CH1,POWER,14.82
1773058980607,CH1,POWER,14.82
1773058980616,CH1,POWER,14.82
1773058980625,CH1,POWER,14.82
1773058980637,CH1,POWER,14.82
1773058980649,CH1,POWER,14.82
1773058980661,CH1,POWER,14.82
1773058980670,CH1,POWER,14.82
1773058980679,CH1,POWER,14.82
1773058980690,CH1,POWER,14.82
1773058980700,CH1,POWER,14.82
1773058980711,CH1,POWER,14.82
1773058980720,CH1,POWER,14.82
1773058980731,CH1,POWER,14.82
1773058980741,CH1,POWER,14.82
1773058980752,CH1,POWER,14.82
1773058980763,CH1,POWER,14.82
1773058980773,CH1,POWER,14.82
1773058980782,CH1,POWER,14.82
1773058980794,CH1,POWER,14.82
1773058980805,CH1,POWER,14.82
1773058980817,CH1,POWER,14.82
1773058980829,CH1,POWER,14.82
1773058980841,CH1,POWER,14.82
1773058980853,CH1,POWER,14.82
1773058980865,CH1,POWER,14.82
1773058980870,CH1,POWER,14.82
1773058980878,CH1,POWER,14.82
1773058980889,CH1,POWER,14.82
1773058980899,CH1,POWER,14.82
1773058980910,CH1,POWER,14.82
1773058980921,CH1,POWER,14.82
1773058980930,CH1,POWER,14.82
1773058980939,CH1,POWER,14.82
1773058980949,CH1,POWER,14.82
1773058980957,CH1,POWER,14.82
1773058980965,CH1,POWER,14.82
1773058980974,CH1,POWER,14.82
1773058980984,CH1,POWER,14.82
1773058980992,CH1,POWER,14.82
1773058981002,CH1,POWER,14.82
1773058981012,CH1,POWER,14.82
1773058981021,CH1,POWER,14.82
1773058981030,CH1,POWER,14.82
1773058981040,CH1,POWER,14.82
1773058981049,CH1,POWER,14.82
1773058981058,CH1,POWER,14.82
1773058981068,CH1,POWER,14.82
1773058981077,CH1,POWER,14.82
1773058981086,CH1,POWER,14.82
1773058981095,CH1,POWER,14.82
1773058981105,CH1,POWER,14.82
1773058981114,CH1,POWER,14.82
1773058981124,CH1,POWER,14.82
1773058981133,CH1,POWER,14.82
1773058981142,CH1,POWER,14.82
1773058981154,CH1,POWER,14.82
1773058981163,CH1,POWER,14.82
1773058981173,CH1,POWER,14.82
1773058981184,CH1,POWER,14.82
1773058981196,CH1,POWER,14.82
1773058981206,CH1,POWER,14.82
1773058981218,CH1,POWER,14.82
1773058981227,CH1,POWER,14.82
1773058981238,CH1,POWER,14.82
1773058981291,CH1,POWER,15.21
1773058981299,CH1,POWER,15.21
1773058981308,CH1,POWER,15.21
1773058981317,CH1,POWER,15.21
1773058981326,CH1,POWER,15.21
1773058981336,CH1,POWER,15.21
1773058981347,CH1,POWER,15.21
1773058981356,CH1,POWER,15.21
1773058981366,CH1,POWER,15.21
1773058981376,CH1,POWER,15.21
1773058981385,CH1,POWER,15.21
1773058981395,CH1,POWER,15.21
1773058981405,CH1,POWER,15.21
1773058981414,CH1,POWER,15.21
1773058981424,CH1,POWER,15.21
1773058981434,CH1,POWER,15.21
1773058981443,CH1,POWER,15.21
1773058981453,CH1,POWER,15.21
1773058981465,CH1,POWER,15.21
1773058981476,CH1,POWER,15.21
1773058981486,CH1,POWER,15.21
1773058981497,CH1,POWER,15.21
1773058981508,CH1,POWER,15.21
1773058981517,CH1,POWER,15.21
1773058981528,CH1,POWER,15.21
1773058981537,CH1,POWER,15.21
1773058981545,CH1,POWER,15.21
1773058981555,CH1,POWER,15.21
1773058981565,CH1,POWER,15.21
1773058981574,CH1,POWER,15.21
1773058981583,CH1,POWER,15.21
1773058981595,CH1,POWER,15.21
1773058981607,CH1,POWER,15.21
1773058981619,CH1,POWER,15.21
1773058981631,CH1,POWER,15.21
1773058981643,CH1,POWER,15.21
1773058981648,CH1,POWER,15.21
1773058981655,CH1,POWER,15.21
1773058981665,CH1,POWER,15.21
1773058981676,CH1,POWER,15.21
1773058981686,CH1,POWER,15.21
1773058981697,CH1,POWER,15.21
1773058981708,CH1,POWER,15.21
1773058981717,CH1,POWER,15.21
1773058981728,CH1,POWER,15.21
1773058981737,CH1,POWER,15.21
1773058981748,CH1,POWER,15.21
1773058981757,CH1,POWER,15.21
1773058981768,CH1,POWER,15.21
1773058981778,CH1,POWER,15.21
1773058981788,CH1,POWER,15.21
1773058981797,CH1,POWER,15.21
1773058981807,CH1,POWER,15.21
1773058981818,CH1,POWER,15.21
1773058981828,CH1,POWER,15.21
1773058981838,CH1,POWER,15.21
1773058981847,CH1,POWER,15.21
1773058981856,CH1,POWER,15.21
1773058981867,CH1,POWER,15.21
1773058981877,CH1,POWER,15.21
1773058981889,CH1,POWER,15.21
1773058981899,CH1,POWER,15.21
1773058981909,CH1,POWER,15.21
1773058981921,CH1,POWER,15.21
1773058981933,CH1,POWER,15.21
1773058981945,CH1,POWER,15.21
1773058981957,CH1,POWER,15.21
1773058981969,CH1,POWER,15.21
1773058981981,CH1,POWER,15.21
1773058981993,CH1,POWER,15.21
1773058982004,CH1,POWER,15.21
1773058982013,CH1,POWER,15.21
1773058982063,CH1,POWER,15.21
1773058982074,CH1,POWER,15.21
1773058982085,CH1,POWER,15.21
1773058982094,CH1,POWER,15.21
1773058982104,CH1,POWER,15.21
1773058982115,CH1,POWER,15.21
1773058982125,CH1,POWER,15.21
1773058982136,CH1,POWER,15.21
1773058982145,CH1,POWER,15.21
1773058982154,CH1,POWER,15.21
1773058982165,CH1,POWER,15.21
1773058982175,CH1,POWER,15.21
1773058982187,CH1,POWER,15.21
1773058982198,CH1,POWER,15.21
1773058982208,CH1,POWER,15.21
1773058982219,CH1,POWER,15.21
1773058982230,CH1,POWER,15.21
1773058982237,CH1,POWER,15.21
1773058982248,CH1,POWER,15.21
1773058982259,CH1,POWER,15.21
1773058982269,CH1,POWER,15.21
1773058982279,CH1,POWER,15.21
1773058982291,CH1,POWER,15.21
1773058982301,CH1,POWER,15.21
1773058982313,CH1,POWER,15.21
1773058982322,CH1,POWER,15.21
1773058982331,CH1,POWER,15.21
1773058982341,CH1,POWER,15.21
1773058982351,CH1,POWER,15.21
1773058982360,CH1,POWER,15.21
1773058982369,CH1,POWER,15.21
1773058982381,CH1,POWER,15.21
1773058982393,CH1,POWER,15.21
1773058982405,CH1,POWER,15.21
1773058982416,CH1,POWER,15.21
1773058982421,CH1,POWER,15.21
1773058982428,CH1,POWER,15.21
1773058982439,CH1,POWER,15.21
1773058982448,CH1,POWER,15.21
1773058982457,CH1,POWER,15.21
1773058982467,CH1,POWER,15.21
1773058982477,CH1,POWER,15.21
1773058982486,CH1,POWER,15.21
1773058982495,CH1,POWER,15.21
1773058982507,CH1,POWER,15.21
1773058982519,CH1,POWER,15.21
1773058982531,CH1,POWER,15.21
1773058982542,CH1,POWER,15.21
1773058982551,CH1,POWER,15.21
1773058982561,CH1,POWER,15.21
1773058982570,CH1,POWER,15.21
1773058982581,CH1,POWER,15.21
1773058982592,CH1,POWER,15.21
1773058982602,CH1,POWER,15.21
1773058982613,CH1,POWER,15.21
1773058982623,CH1,POWER,15.21
1773058982632,CH1,POWER,15.21
1773058982642,CH1,POWER,15.21
1773058982651,CH1,POWER,15.21
1773058982661,CH1,POWER,15.21
1773058982670,CH1,POWER,15.21
1773058982681,CH1,POWER,15.21
