timestamp,channel,action,payload
1772984941299,CH1,POWER (Simulated),1.489
1772984942299,CH1,POWER (Simulated),1.159
1772984943299,CH1,POWER (Simulated),3.633
1772984944299,CH1,POWER (Simulated),0.744
1772984945298,CH1,POWER (Simulated),1.917
1772984946299,CH1,POWER (Simulated),0.252
1772984947299,CH1,POWER (Simulated),4.144
1772984948298,CH1,POWER (Simulated),0.206
1772984949299,CH1,POWER (Simulated),1.152
1772984949828,CH1,MESSAGE,"{""channelId"":""CH1"",""message"":""start,run_id=46A7755F60BF706A,test=APX1090-queryA.sql,loop=1/3,runs=100"",""timestamp"":1772984949828}"
1772984950299,CH1,POWER (Simulated),0.237
1772984951298,CH1,POWER (Simulated),4.551
1772984952298,CH1,POWER (Simulated),2.657
1772984953298,CH1,POWER (Simulated),0.575
1772984954298,CH1,POWER (Simulated),2.527
1772984955298,CH1,POWER (Simulated),4.259
1772984956298,CH1,POWER (Simulated),4.609
1772984957298,CH1,POWER (Simulated),2.702
1772984958298,CH1,POWER (Simulated),1.286
1772984959298,CH1,POWER (Simulated),0.751
1772984960298,CH1,POWER (Simulated),3.737
1772984961298,CH1,POWER (Simulated),3.724
1772984962298,CH1,POWER (Simulated),4.191
1772984963298,CH1,POWER (Simulated),2.671
1772984964298,CH1,POWER (Simulated),3.588
1772984965298,CH1,POWER (Simulated),4.125
1772984966298,CH1,POWER (Simulated),2.448
1772984967298,CH1,POWER (Simulated),4.916
1772984968298,CH1,POWER (Simulated),2.223
1772984969298,CH1,POWER (Simulated),0.287
1772984970298,CH1,POWER (Simulated),3.344
1772984971298,CH1,POWER (Simulated),2.416
1772984972298,CH1,POWER (Simulated),2.073
1772984973298,CH1,POWER (Simulated),1.280
1772984974298,CH1,POWER (Simulated),4.285
1772984975298,CH1,POWER (Simulated),2.392
1772984976298,CH1,POWER (Simulated),2.746
1772984977298,CH1,POWER (Simulated),1.317
1772984978298,CH1,POWER (Simulated),1.630
1772984979298,CH1,POWER (Simulated),3.752
1772984980298,CH1,POWER (Simulated),1.931
1772984981298,CH1,POWER (Simulated),3.230
1772984982298,CH1,POWER (Simulated),4.966
1772984983298,CH1,POWER (Simulated),4.155
1772984984298,CH1,POWER (Simulated),2.844
1772984985298,CH1,POWER (Simulated),3.749
1772984986298,CH1,POWER (Simulated),3.155
1772984987299,CH1,POWER (Simulated),1.632
1772984988298,CH1,POWER (Simulated),3.622
1772984989298,CH1,POWER (Simulated),1.660
1772984990298,CH1,POWER (Simulated),2.962
1772984991298,CH1,POWER (Simulated),3.600
1772984992299,CH1,POWER (Simulated),1.806
1772984993298,CH1,POWER (Simulated),4.474
1772984994298,CH1,POWER (Simulated),2.963
1772984995298,CH1,POWER (Simulated),0.304
1772984996298,CH1,POWER (Simulated),2.860
1772984997298,CH1,POWER (Simulated),1.915
1772984998298,CH1,POWER (Simulated),2.381
1772984999299,CH1,POWER (Simulated),1.014
1772985000298,CH1,POWER (Simulated),3.729
1772985001298,CH1,POWER (Simulated),3.043
1772985002298,CH1,POWER (Simulated),0.328
1772985003298,CH1,POWER (Simulated),1.650
1772985004299,CH1,POWER (Simulated),3.986
1772985005299,CH1,POWER (Simulated),3.998
1772985006299,CH1,POWER (Simulated),1.061
1772985007299,CH1,POWER (Simulated),0.127
1772985008299,CH1,POWER (Simulated),4.240
1772985009299,CH1,POWER (Simulated),0.111
1772985010299,CH1,POWER (Simulated),0.584
1772985011298,CH1,POWER (Simulated),4.721
1772985012298,CH1,POWER (Simulated),0.692
1772985013298,CH1,POWER (Simulated),3.940
